Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR19607200,SAMN28950038,HTP_1_21_21_enriched,HTP_1_21_21_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,5400466,1090894132,202,319,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607200/SRR19607200.lite.1
SRR19607181,SAMN28950118,HTP_6_15_2021_enriched,HTP_6_15_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,1586483,320469566,202,96,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607181/SRR19607181.lite.1
SRR19607183,SAMN28950117,HTP_6_15_2020_amplicon,HTP_6_15_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,9158425,2765844350,302,890,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607183/SRR19607183.lite.1
SRR19607185,SAMN28950116,HTP_6_14_2020_amplicon,HTP_6_14_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,10078185,3043611870,302,951,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607185/SRR19607185.lite.1
SRR19607189,SAMN28950115,HTP_6_13_2021_amplicon,HTP_6_13_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12113228,3658194856,302,1149,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19607/SRR19607189/SRR19607189.lite.1
SRR19607170,SAMN28950123,HTP_6_22_2020_amplicon,HTP_6_22_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12550137,3790141374,302,1203,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR019/19607/SRR19607170/SRR19607170.lite.1
SRR19607172,SAMN28950122,HTP_6_20_2021_enriched,HTP_6_20_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4246141,857720482,202,267,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607172/SRR19607172.lite.1
SRR19607175,SAMN28950121,HTP_6_2_2020_amplicon,HTP_6_2_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,8741120,2639818240,302,862,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19607/SRR19607175/SRR19607175.lite.1
SRR19607177,SAMN28950120,HTP_6_18_2020_amplicon,HTP_6_18_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12116383,3659147666,302,1170,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607177/SRR19607177.lite.1
SRR19607179,SAMN28950119,HTP_6_17_2021_amplicon,HTP_6_17_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11251541,3397965382,302,1095,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19607/SRR19607179/SRR19607179.lite.1
